identifier,product,region,farming_type,d13C_permil,d15N_permil,wtN_percent,wtC_percent,CN_molar
A1,A,Bavaria,Organic,-28.112030217420003,7.922995500000001,1.8657382978723407,34.0442,21.27935052358896
A2,A,Bavaria,Organic,-28.519272364800006,7.529497300000001,1.4642021148036253,33.69403423967774,26.836009982255028
A3,A,Bavaria,Organic,-28.15912982928001,8.1980322,1.6429794312796209,32.627444170616116,23.158844700293603
A4,A,Bavaria,Organic,-28.951513660580005,6.5766548,2.0067226473629787,38.37769865563599,22.30270490219356
B1,B,Almeria,Organic,-29.276517434880006,4.607103599999999,2.138177743902439,36.339863414634145,19.820082032387422
B2,B,Almeria,Organic,-27.610037120500007,4.294983299999999,1.0233993865030675,36.19025854513584,41.23941491869987
B3,B,Almeria,Organic,-26.804461830960005,3.3751040000000003,0.6921093994778067,35.44412114882506,59.722148988589396
B4,B,Almeria,Organic,-28.463933210540006,4.4680401,2.465644008483563,38.330392152704135,18.12920880952556
C1,C,Bavaria,Conventional,-29.825287032380004,1.0439877,1.7832887573964495,35.381657396449704,23.13782132008814
C2,C,Bavaria,Conventional,-29.889664088280007,0.8894727,1.4969227180527382,38.2726,29.816354866561454
C3,C,Bavaria,Conventional,-30.563203987020007,0.1271987,1.6439538461538459,37.36900246153846,26.5086643335863
C4,C,Bavaria,Conventional,-30.752687150560003,-0.037617299999999965,1.5644094182825488,39.49025595567866,29.437809356068612
D1,D,Bavaria,Conventional,-32.81438456942001,-0.2189148999999999,1.5061194258373205,35.7453257416268,27.677433163911054
D2,D,Bavaria,Conventional,-27.565188332940004,1.4869307,1.6124582608695652,37.54246164251207,27.151900022049
D3,D,Bavaria,Conventional,-28.576129302560005,0.5062754999999999,1.6375268736616702,37.39420471092077,26.63065368478112
E1,E,Bavaria,Conventional,-31.98578299408001,0.4702219999999999,2.1304749999999997,38.4538237037037,21.04888281224743
E2,E,Bavaria,Conventional,-32.53613487448,0.1035064,2.345013008937438,39.21298669314797,19.50071913882709
E3,E,Bavaria,Conventional,-32.60304296874,1.1851114,2.376304531722054,39.925371399798586,19.593536498692778
E4,E,Bavaria,Conventional,-31.977903522140004,0.060242200000000024,2.241399610516066,40.01679824732229,20.82039704472911
F1,F,Bavaria,Conventional,-30.916866278060006,-1.1799982,1.7127784403669721,36.58956165137614,24.91276782678221
F2,F,Bavaria,Conventional,-30.854774139000003,-1.1151019,1.7618759219088935,36.061203904555306,23.868815241016698
F3,F,Bavaria,Conventional,-30.660073281140008,-0.0386474,1.644454213483146,36.1564436329588,25.640700284448613
F4,F,Bavaria,Conventional,-31.083171019120005,-0.9214431,1.6037343385214007,34.28944980544746,24.934120277132454
G1,G,Bavaria,Organic,-30.056853187780003,7.290514099999999,1.6208492581602376,35.16033491592483,25.297426242755904
G2,G,Bavaria,Organic,-30.754012562040007,6.244962599999999,2.388157486136784,36.311566358595186,17.731602308750016
G3,G,Bavaria,Organic,-30.495350618220005,6.1450429,1.6986126888217523,37.36668821752266,25.65406590152402
G4,G,Bavaria,Organic,-31.935142467540004,7.831316599999999,1.033644578313253,45.171576998904705,50.96358649311547
H1,H,Bavaria,Organic,-28.459839341480006,7.3626211,1.3788517343904858,33.269839048562936,28.138380094631746
H2,H,Bavaria,Organic,-28.798683048940006,7.3214171,1.581980421686747,33.70016847389558,24.842593282162643
H3,H,Bavaria,Organic,-28.805296489800007,8.3844803,1.5890495019920319,33.718551792828684,24.74556923763831
H4,H,Bavaria,Organic,-28.597211699300008,7.290514099999999,1.2992773026315787,37.088202850877195,33.288934878664506
I1,I,Bavaria,Organic,-29.441500143000006,3.0207496000000003,1.586719251336898,35.85196969696969,26.349895146743222
I2,I,Bavaria,Organic,-29.447603321940008,3.6542610999999994,1.3730571008814887,37.32945915768855,31.705095155908783
I3,I,Bavaria,Organic,-28.831273674340004,1.9267834,1.8584769441903017,35.08450667886551,22.015277207208545
I4,I,Bavaria,Organic,-29.091584345680005,3.5491908999999993,2.0838636451301835,38.92827540983607,21.78521386510941
J1,J,Souss-Massa,Conventional,-29.774526209340003,-0.32707539999999996,1.1673336179295621,50.96511824973319,50.91479564273738
J2,J,Souss-Massa,Conventional,-30.09582608000001,-0.37239979999999995,1.3496414486921529,51.3215291750503,44.345253557040685
J3,J,Souss-Massa,Conventional,-29.717205694940006,-0.8215234,1.1026125,49.911681249999994,52.789220500589025
J4,J,Souss-Massa,Conventional,-28.687715619300004,-0.010834699999999975,2.769590322580645,50.11325806451613,21.101001460039697
B1,B,Almeria,Organic,-29.276517434880006,4.607103599999999,2.138177743902439,36.339863414634145,19.820082032387422
B1,B,Almeria,Organic,-29.263803784100006,4.7523477,2.2029986842105265,36.3300625,19.231708555794267
B1,B,Almeria,Organic,-29.282642216000006,4.6987825,2.1774393879565648,36.91601184600198,19.77127440440278
B1,B,Almeria,Organic,-29.535618793660007,4.6081337,2.1175099601593623,36.90816155378486,20.326514437443716
B1,B,Almeria,Organic,-29.225713100340005,4.7214447,2.2552926605504586,35.210078715596325,18.206650316945655
B4,B,Almeria,Organic,-28.463933210540006,4.4680401,2.465644008483563,38.330392152704135,18.12920880952556
B4,B,Almeria,Organic,-28.23591493166001,4.6153444,2.375246900826446,36.52774194214876,17.934118191412487
B4,B,Almeria,Organic,-29.252148844900006,5.2869696,4.7235607555089185,50.9409370409234,12.576603967294867
J1,J,Souss-Massa,Conventional,-29.764239988360004,1.9319339,1.1483037962037963,46.999134065934065,47.73083340885756
J1,J,Souss-Massa,Conventional,-29.774526209340003,-0.32707539999999996,1.1673336179295621,50.96511824973319,50.91479564273738
J1,J,Souss-Massa,Conventional,-29.610982759260008,-0.3991824,1.2046421215242018,50.17658722966014,48.574578012956096
J1,J,Souss-Massa,Conventional,-29.634746795340007,-0.7926806,1.2403363357215966,49.773936335721594,46.79812822983617
J1,J,Souss-Massa,Conventional,-29.543515260680003,-0.776199,1.2574736334405143,50.97767588424437,47.27669471359498
